Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
3000m women,Bronze,3,United States of America,USA,Beth HEIDEN,North America,Lake-Placid,1980
500m men,Gold,1,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980
500m men,Silver,2,Soviet Union,URS,Yevgeny KULIKOV,Europe,Lake-Placid,1980
500m men,Bronze,3,Netherlands,NED,Lieuwe DE BOER,Europe,Lake-Placid,1980
10000m men,Gold,1,Netherlands,NED,Piet KLEINE,Europe,Innsbruck,1976
10000m men,Silver,2,Norway,NOR,Sten STENSEN,Europe,Innsbruck,1976
10000m men,Bronze,3,Netherlands,NED,Hans VAN HELDEN,Europe,Innsbruck,1976
500m women,Gold,1,United States of America,USA,Sheila YOUNG,North America,Innsbruck,1976
500m women,Silver,2,Canada,CAN,Cathy PRIESTNER,North America,Innsbruck,1976
500m women,Bronze,3,Soviet Union,URS,Tatyana AVERINA,Europe,Innsbruck,1976
1500m women,Gold,1,Soviet Union,URS,Galina STEPANSKAYA,Europe,Innsbruck,1976
1500m women,Silver,2,United States of America,USA,Sheila YOUNG,North America,Innsbruck,1976
